item_id,game_title,developer,release_year,steam_url,horror_tag_present,singleplayer,multiplayer,co_op,survival_language_present,psychological_horror_present,gore_emphasis,combat_emphasis,story_emphasis,immersion_language_present,horror_style,notes
16,SOMA,Frictional Games,"Sep 21, 2015",https://store.steampowered.com/app/282140/SOMA/,yes,yes,no,no,yes,yes,medium,low,yes,yes,"psychological, sci-fi, first-person",Sci-fi horror with strong story and existential dread rather than combat-heavy survival.
17,Alien: Isolation,Creative Assembly,"Oct 6, 2014",https://store.steampowered.com/app/214490/Alien_Isolation/,yes,yes,no,no,yes,yes,medium,low,yes,yes,"survival, sci-fi, first-person",Constant dread and evasion make this a strong stealth-survival example.
18,Visage,SadSquare Studio,"Oct 29, 2020",https://store.steampowered.com/app/594330/Visage/,yes,yes,no,no,no,yes,medium,low,no,yes,"psychological, supernatural, first-person","Slow, atmospheric house horror that leans hard into psychological dread."
19,Sons Of The Forest,Endnight Games Ltd,"Feb 22, 2024",https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/,yes,yes,yes,yes,yes,no,high,high,no,yes,"survival, action-horror, co-op horror","More survival/action-focused than psychological, with strong crafting and combat emphasis."
20,SIGNALIS,rose-engine,"Oct 27, 2022",https://store.steampowered.com/app/1262350/SIGNALIS/,yes,yes,no,no,yes,yes,medium,medium,yes,yes,"survival, psychological, sci-fi",Classic survival-horror structure with cosmic mystery and strong narrative framing.
21,Little Nightmares,Tarsier Studios,"Apr 27, 2017",https://store.steampowered.com/app/424840/Little_Nightmares/,yes,yes,no,no,no,no,medium,low,no,yes,"atmospheric, supernatural","Stylized horror built around mood, chase sequences, and unsettling imagery more than combat."
22,Little Nightmares II,Tarsier Studios,"Feb 10, 2021",https://store.steampowered.com/app/860510/Little_Nightmares_II/,yes,yes,no,no,no,no,medium,low,yes,yes,"atmospheric, supernatural",Nightmarish platforming horror with strong visual atmosphere and story hints.
23,MADiSON,BLOODIOUS GAMES,"Jul 7, 2022",https://store.steampowered.com/app/1670870/MADiSON/,yes,yes,no,no,no,yes,high,low,yes,yes,"psychological, supernatural, first-person",First-person psychological horror with disturbing imagery and heavy supernatural tension.
24,The Mortuary Assistant,DarkStone Digital,"Aug 2, 2022",https://store.steampowered.com/app/1295920/The_Mortuary_Assistant/,yes,yes,no,no,yes,yes,high,low,yes,yes,"psychological, supernatural, first-person",Ritual-heavy mortuary horror that mixes replayability with possession and dread.
25,The Outlast Trials,Red Barrels,"Mar 5, 2024",https://store.steampowered.com/app/1304930/The_Outlast_Trials/,yes,yes,yes,yes,yes,yes,high,low,no,yes,"co-op horror, psychological, survival","Co-op torture-lab horror emphasizing escape, teamwork, and panic over direct combat."
26,DEVOUR,Straight Back Games,"Jan 28, 2021",https://store.steampowered.com/app/1274570/DEVOUR/,yes,yes,yes,yes,yes,no,medium,low,no,yes,"co-op horror, supernatural, survival",Fast co-op survival horror where the pressure comes from teamwork and pursuit.
27,SCP: Secret Laboratory,Northwood Studios,"Dec 29, 2017",https://store.steampowered.com/app/700330/SCP_Secret_Laboratory/,yes,no,yes,yes,yes,no,medium,medium,no,yes,"multiplayer, survival, sci-fi",Free-to-play multiplayer horror with escape/fight dynamics and SCP role-based chaos.
28,Bendy and the Ink Machine,Joey Drew Studios,"Feb 10, 2017",https://store.steampowered.com/app/622650/Bendy_and_the_Ink_Machine/,yes,yes,no,no,no,yes,medium,medium,yes,yes,"psychological, action-horror","Cartoon-studio horror that mixes puzzles, chase sequences, and stylized monstrosity."
29,Five Nights at Freddy's,Scott Cawthon,"Aug 8, 2014",https://store.steampowered.com/app/319510/Five_Nights_at_Freddys/,yes,yes,no,no,yes,no,low,low,no,yes,"jumpscare, survival","A strong example of horror built around surveillance, vulnerability, and jumpscares."
30,Crow Country,SFB Games,"May 9, 2024",https://store.steampowered.com/app/1996010/Crow_Country/,yes,yes,no,no,yes,yes,medium,medium,yes,yes,"survival, psychological",Retro-inspired survival horror with narrative mystery and theme-park atmosphere.
31,Mouthwashing,Wrong Organ,"Sep 26, 2024",https://store.steampowered.com/app/2475490/Mouthwashing/,yes,yes,no,no,yes,yes,high,low,yes,yes,"psychological, sci-fi",Story-heavy horror about a doomed crew; more psychological and grotesque than action-oriented.
32,The Evil Within,Tango Gameworks,"Oct 13, 2014",https://store.steampowered.com/app/268050/The_Evil_Within/,yes,yes,no,no,yes,yes,high,high,yes,yes,"survival, action-horror",Pure survival-horror framing mixed with high-intensity combat and grotesque imagery.
33,The Evil Within 2,Tango Gameworks,"Oct 13, 2017",https://store.steampowered.com/app/601430/The_Evil_Within_2/,yes,yes,no,no,yes,yes,high,high,yes,yes,"survival, action-horror",A more open and story-forward sequel that still mixes survival horror with heavy combat.
34,Darkwood,Acid Wizard Studio,"Aug 17, 2017",https://store.steampowered.com/app/274520/Darkwood/,yes,yes,no,no,yes,yes,medium,medium,no,yes,"survival, psychological","Top-down survival horror centered on scavenging, uncertainty, and dread."
35,Martha Is Dead,LKA,"Feb 24, 2022",https://store.steampowered.com/app/515960/Martha_Is_Dead/,yes,yes,no,no,no,yes,high,low,yes,yes,"psychological, story-rich","Psychological thriller/horror focused on trauma, story, and unsettling imagery."
36,Tormented Souls,Dual Effect,"Aug 27, 2021",https://store.steampowered.com/app/1367590/Tormented_Souls/,yes,yes,no,no,yes,no,medium,medium,yes,yes,"survival, supernatural",Modern take on classic fixed-camera survival horror with puzzles and mansion-hospital setting.
37,FATAL FRAME / PROJECT ZERO: Mask of the Lunar Eclipse,"KOEI TECMO GAMES CO., LTD.","Mar 9, 2023",https://store.steampowered.com/app/2130460/FATAL_FRAME__PROJECT_ZERO_Mask_of_the_Lunar_Eclipse/,yes,yes,no,no,yes,yes,low,low,yes,yes,"psychological, supernatural, survival","Ghost-focused Japanese horror emphasizing atmosphere, story, and camera-based defense."
38,Pacify,Shawn Hitchcock,"Feb 22, 2019",https://store.steampowered.com/app/967050/Pacify/,yes,yes,yes,yes,yes,no,medium,low,no,yes,"co-op horror, supernatural",Mission-based paranormal co-op horror with multiple maps and shared panic.
39,Labyrinthine,Valko Game Studios,"Aug 18, 2023",https://store.steampowered.com/app/1302240/Labyrinthine/,yes,yes,yes,yes,yes,yes,medium,low,no,yes,"co-op horror, psychological","Maze/exploration horror that builds tension through navigation, teamwork, and monsters."
40,At Dead Of Night,Baggy Cat Ltd.,"Nov 19, 2020",https://store.steampowered.com/app/1450830/At_Dead_Of_Night/,yes,yes,no,no,no,yes,medium,low,yes,yes,"psychological, supernatural",Live-action ghost-hunt horror with strong immersion and narrative framing.
41,Demonologist,Clock Wizard Games,"Sep 25, 2023",https://store.steampowered.com/app/1929610/Demonologist/,yes,yes,yes,yes,yes,yes,medium,low,no,yes,"co-op horror, supernatural",Ghost-hunting co-op horror with strong investigation framing and jump-scare tension.
42,The Beast Inside,ILLUSION RAY STUDIO,"Oct 17, 2019",https://store.steampowered.com/app/792300/The_Beast_Inside/,yes,yes,no,no,yes,yes,high,medium,yes,yes,"psychological, survival","Story-driven thriller/survival horror blending riddles, combat, and madness."
43,In Sound Mind,We Create Stuff,"Sep 28, 2021",https://store.steampowered.com/app/1119980/In_Sound_Mind/,yes,yes,no,no,no,yes,medium,medium,yes,yes,"psychological, first-person",Psychological horror with puzzles and boss fights; strong mind/trauma framing.
44,Fear the Spotlight,Cozy Game Pals,"Oct 22, 2024",https://store.steampowered.com/app/1959390/Fear_the_Spotlight/,yes,yes,no,no,yes,yes,low,low,yes,yes,"psychological, atmospheric","Atmospheric third-person horror adventure focused on mystery, stealth, and puzzles."
45,Slender: The Arrival,Blue Isle Studios,"Oct 28, 2013",https://store.steampowered.com/app/252330/Slender_The_Arrival/,yes,yes,no,no,no,yes,low,low,yes,yes,"psychological, survival, supernatural","Atmospheric Slender Man horror focused on tension, fear, and sanity rather than combat. Good example of supernatural psychological horror with a stronger story focus than some chase-based horror games."
46,Nuclear Nightmare,BG Productions,"Oct 20, 2024",https://store.steampowered.com/app/2909110/Nuclear_Nightmare/,yes,yes,yes,yes,yes,yes,high,high,yes,yes,"survival, co-op, sci-fi","Co-op survival horror with strong action elements. The page emphasizes extraction, infection, weapons, and time pressure more than narrative or purely psychological fear."
47,Bendy and the Dark Revival,Joey Drew Studios,"Nov 15, 2022",https://store.steampowered.com/app/1063660/Bendy_and_the_Dark_Revival/,yes,yes,no,no,yes,yes,medium,medium,yes,yes,"survival, action-horror",First-person survival horror sequel with stronger action elements than the first game.
48,Five Nights at Freddy's: Security Breach,Steel Wool Studios,"Dec 16, 2021",https://store.steampowered.com/app/747660/Five_Nights_at_Freddys_Security_Breach/,yes,yes,no,no,yes,no,low,low,yes,yes,"survival, jumpscare","Family-friendly survival horror framed around stealth, pursuit, and escape through a large setting."
49,Still Wakes the Deep,The Chinese Room,"Jun 18, 2024",https://store.steampowered.com/app/1622910/Still_Wakes_the_Deep/,yes,yes,no,no,no,yes,high,low,yes,yes,"psychological, first-person","Narrative-first first-person horror with heavy atmosphere, panic, and no real combat focus."
50,WORLD OF HORROR,panstasz,"Oct 19, 2023",https://store.steampowered.com/app/913740/WORLD_OF_HORROR/,yes,yes,no,no,yes,yes,high,medium,yes,yes,"psychological, cosmic horror","Cosmic horror RPG framing fear through disturbing events, implied gore, and apocalyptic mystery."
