Name,Release Date,Rating,Genre(s),Platform(s),Theme(s),Keyword(s),Developer(s),Player Perspective,Game Mode(s)
Cardoom,2026-12-31,,"Strategy, Card & Board Game",PC (Microsoft Windows),,"roguelike, turn-based tactics, deck-building",,Bird view / Isometric,Single player
CaraVanguard,2026-12-31,,Role-playing (RPG),PC (Microsoft Windows),"Action, Fantasy",roguelite,Backpack Studios,Bird view / Isometric,"Single player, Multiplayer, Co-operative"
The Curator,2026-12-31,,Indie,PC (Microsoft Windows),Business,"management, roguelite",dogandemir,,Single player
Waterpunk: Through the Rust,2026-12-31,,"Shooter, Adventure, Indie",PC (Microsoft Windows),Action,"post-apocalyptic, roguelike, pixel art, pixel graphics, roguelite, nextfest february 2026",R_Games,Bird view / Isometric,Single player
Wish Of Hers,2026-12-31,,"Adventure, Indie","Linux, PC (Microsoft Windows), Mac","Action, Fantasy","roguelike, dream world, danmaku, 25d",Crystalcrown Studios,Bird view / Isometric,Single player
I'm No Demonlord,2026-12-31,,"Role-playing (RPG), Adventure, Indie","Linux, PC (Microsoft Windows), Mac","Action, Fantasy","roguelike, bullet hell, bullet heaven, nextfest february 2026","Edigger, NiaoWu Studio",Bird view / Isometric,"Single player, Multiplayer, Co-operative, Split screen"
Remnants of Sin: Deck & Puzzle,2026-12-31,,Indie,PC (Microsoft Windows),Fantasy,"roguelike, deck-building",,,Single player
Tactris,2026-12-31,,"Strategy, Indie",PC (Microsoft Windows),Fantasy,"roguelike, breakout, tetris, puyo puyo, nextfest february 2026",No Fowl,Bird view / Isometric,Single player
The Other Order,2026-12-31,,Indie,"PC (Microsoft Windows), Mac",,"roguelike, surreal",,,Single player
Skyward Bastion,2026-12-31,,"Strategy, Tactical, Indie",PC (Microsoft Windows),Fantasy,"tower defense, procedural generation, day/night cycle, roguelite",Shenkrad,Bird view / Isometric,Single player
Biovoid,2026-12-31,,"Simulator, Strategy",PC (Microsoft Windows),,roguelike,Dzedou,Bird view / Isometric,Single player
Some of You May Die,2026-12-31,,Strategy,PC (Microsoft Windows),Fantasy,"roguelike, pixel art, pixel graphics, auto battler, nextfest february 2026",Octavia Blue,Bird view / Isometric,"Single player, Multiplayer"
Pass the Fear,2026-12-31,,"Shooter, Role-playing (RPG), Strategy, Adventure, Indie",PC (Microsoft Windows),Action,"bullet hell, roguelite, nextfest february 2026","PlayMud Studio, Paras Games",Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Orium,2026-12-31,,"Strategy, Indie",PC (Microsoft Windows),"Action, Science fiction, 4X (explore, expand, exploit, and exterminate)","exploration, roguelike, procedural generation, space, capitalism, roguelite, autobattler",oStairs,Bird view / Isometric,Single player
Cardaver,2026-12-31,,"Strategy, Adventure, Card & Board Game",PC (Microsoft Windows),"Action, Fantasy","tower defense, roguelike, roguelike deckbuilder, deckbuilder","2 Left Thumbs, Stepford, BlightedHelix",,Single player
Paccarat,2026-12-31,,"Strategy, Turn-based strategy (TBS), Indie",PC (Microsoft Windows),,"roguelike, roguelike deckbuilder, deckbuilder",,Bird view / Isometric,Single player
Strigoi Town,2026-12-31,,"Strategy, Indie, Card & Board Game",PC (Microsoft Windows),,"roguelike, steam achievements, steam cloud, roguelike deckbuilder, deckbuilder, card battler, playable without timed input, mouse only option, custom volume controls",Seto Itchy,,Single player
Verdge,2026-12-31,,"Platform, Indie",PC (Microsoft Windows),Action,"parkour, roguelike, 3d platformer, speedrun, first-person platforming, nextfest february 2026, megastructure","Please, Let Me Cook!",First person,Single player
Bingo Betty,2026-12-31,,"Puzzle, Strategy, Indie","PC (Microsoft Windows), Mac",Comedy,"gambling, roguelite, roguelike deckbuilder, bingo",Elias Austin Games,,"Single player, Multiplayer"
Eternity Breaker,2026-12-31,,"Role-playing (RPG), Simulator, Strategy, Indie",PC (Microsoft Windows),Fantasy,"roguelike, 2.5d, pixel art, pixel graphics, tactical rpg ( trpg ), controller support","SECRET CHARACTER, Linias",,Single player
Warhammer Survivors,2026-12-31,,"Role-playing (RPG), Indie","Xbox Series X|S, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5, Nintendo Switch",Action,"roguelike, bullet hell, roguelite, action roguelike",Auroch Digital,Bird view / Isometric,Single player
Pro Jank Footy,2026-12-31,,"Sport, Arcade","Xbox Series X|S, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5","Action, Comedy","retro, deliberately retro, roguelite, australian football, nextfest february 2026","Powerbomb Games, Tinker Town, Umbrella Gaming",Bird view / Isometric,"Single player, Multiplayer, Split screen"
Through Hell and Back,2026-12-31,,"Role-playing (RPG), Strategy, Card & Board Game",PC (Microsoft Windows),Fantasy,"roguelike, roguelike deckbuilder, deckbuilder",Ustu Games,,Single player
Odds Chronicles,2026-12-31,,"Role-playing (RPG), Strategy, Tactical, Adventure, Indie",PC (Microsoft Windows),Fantasy,"turn-based, tabletop, dice, steam achievements, steam cloud, roguelite","Team Mojo Games, eSolu Games",Bird view / Isometric,Single player
Hardkill System,2026-12-31,,"Shooter, Tactical, Indie",PC (Microsoft Windows),"Action, Science fiction, Warfare","post-apocalyptic, futuristic warfare, mech, dark, 3d, physics, military, procedural generation, futuristic, mission based, real-time, apocalypse, artificial intelligence, upgrade, atmospheric, combat, procedurally generated, scavenging, customization, gun, vehicle customization, resistance, real-time combat, laser, missile launcher, apocalyptic, roguelite, action combat, realtime 3d, customize, extraction, bombs, weapons, cannon, extraction shooter, top-down, upgrades, physics-based, shotgun, flame thrower, rocket",Yevhen Bodrenko,Bird view / Isometric,Single player
Lootbane,2026-12-31,,"Role-playing (RPG), Adventure, Indie","Linux, PC (Microsoft Windows)","Action, Fantasy","pixel art, pixel graphics, roguelite, auto battler, nextfest february 2026",Milo Panta,Bird view / Isometric,Single player
Unshine Arcade,2026-12-31,,"Shooter, Adventure, Indie, Arcade",PC (Microsoft Windows),"Action, Horror, Stealth","dark, roguelike, pixel graphics, dungeon crawler, story rich, action roguelike",Mardt,"First person, Bird view / Isometric",Single player
Space Cat Solitaire,2026-12-31,,"Puzzle, Indie, Card & Board Game","PC (Microsoft Windows), Mac",Science fiction,"roguelike, solitaire, cat",,Bird view / Isometric,Single player
Crimson Rest,2026-12-31,,"Role-playing (RPG), Adventure, Indie","Linux, PC (Microsoft Windows), Mac","Action, Fantasy","retro, vampire, dark fantasy, dracula, dungeon crawler, xbox controller support for pc, deliberately retro, roguelite, dracula's castle",Red Llama Games,First person,Single player
No Tithe for Olaf,2026-12-31,,"Strategy, Indie",PC (Microsoft Windows),"Historical, Comedy","tower defense, roguelite",Ancient Well Entertainment,Third person,Single player
Cards of the Abyss,2026-12-31,,"Strategy, Turn-based strategy (TBS), Tactical, Indie, Card & Board Game","Linux, PC (Microsoft Windows), Mac",Fantasy,"assassin, medieval, turn-based, roguelike, tactical turn-based combat, card collection, roguelite, indie developer, roguelike deckbuilder, deckbuilder, cards, french",Cube Overflow,Bird view / Isometric,Single player
Rotten Survivor,2026-12-31,,"Shooter, Indie",PC (Microsoft Windows),"Action, Survival","zombies, roguelike, horde survival",,Bird view / Isometric,Single player
Project Kepler: Delivery Included!,2026-12-31,,"Real Time Strategy (RTS), Strategy, Tactical",PC (Microsoft Windows),"Action, Science fiction, Survival","tower defense, 2d, roguelike, procedural generation, resource management, bullet hell, futuristic, simulation, pve, base management, pixel graphics, base building, single-player only, automation, robot, survival shooter, top-down",,Bird view / Isometric,Single player
Clerks & Quirks,2026-12-31,,"Simulator, Strategy, Indie",PC (Microsoft Windows),"Action, Business, Party","3d, roguelike, cooking, management, business simulation, store management, shared screen, controller recommendation, 4 player co-op, automation, controller support, teamwork, roguelite, play with friends, playable without timed input, keyboard only option",Altkey Games,Bird view / Isometric,"Single player, Multiplayer, Co-operative, Split screen"
"Your Judgment, Inquisitor",2026-12-31,,"Role-playing (RPG), Simulator, Indie",PC (Microsoft Windows),,"medieval, demons, multiple endings, pixel graphics, choices matter, steam cloud, exorcism, roguelite, spain, adjustable text size, playable without timed input",,,Single player
DDoD,2026-12-31,,"Shooter, Adventure",PC (Microsoft Windows),Action,"roguelike, action roguelike",The Future Entertainment Company,Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Wilderlocke,2026-12-31,,"Strategy, Indie",PC (Microsoft Windows),,"pixel graphics, turn-based combat, roguelite, creature collector",David Litt,,Single player
Cat-a-strophic,2026-12-31,,Arcade,PC (Microsoft Windows),"Action, Science fiction","casual, destruction, 3d, roguelike, cats, pve, cute, funny, combat, relaxing, colorful, cartoony, linear, action roguelike",,Third person,Single player
Where the Chips Fall,2026-12-31,,"Strategy, Indie, Card & Board Game",PC (Microsoft Windows),,"blackjack, cartoony, roguelite",Coquito Games,,Single player
Voyage Router,2026-12-31,,"Role-playing (RPG), Strategy, Indie",PC (Microsoft Windows),,"roguelike, turn-based tactics, hexagon, controller support, hex grid",softoko,Bird view / Isometric,Single player
I Am Night,2026-12-31,,"Role-playing (RPG), Strategy, Card & Board Game",PC (Microsoft Windows),Fantasy,"roguelike, hand-drawn, controller support, deck-building, roguelike deckbuilder, paper aesthetic",Happy Slaying,,Single player
Shardbreakers,2026-12-31,,"Role-playing (RPG), Indie",PC (Microsoft Windows),"Action, Fantasy","roguelike, bullet hell",Embercore,Bird view / Isometric,Single player
Dungeon Raid,2026-12-31,,"Role-playing (RPG), Strategy, Adventure, Indie, Card & Board Game","Web browser, Linux, Android, PC (Microsoft Windows), Mac",Fantasy,"roguelike, pixel art, pixel graphics, controller support, deck-building, roguelike deckbuilder",4Cats,,Single player
Tuoni,2026-12-31,,"Role-playing (RPG), Adventure",PC (Microsoft Windows),"Fantasy, Open world","roguelike, procedural generation, old school, tactical rpg ( trpg ), turn-based rpg, crt filter",Old Dog,Bird view / Isometric,Single player
HellPunk: Purgatorium,2026-12-31,,"Platform, Indie",PC (Microsoft Windows),Action,"hell, steampunk, gore, pixel graphics, controller support, roguelite, action roguelite",Urban Oasis,Side view,Single player
Shuffle Farm,2026-12-31,,"Simulator, Strategy, Turn-based strategy (TBS), Indie, Card & Board Game",PC (Microsoft Windows),Fantasy,"farming, pixel art, pixel graphics, city builder, roguelite, deck-building, roguelike deckbuilder, nextfest june 2025",Computerhead,Bird view / Isometric,Single player
Bloodstone Rising,2026-12-31,,"Shooter, Role-playing (RPG), Adventure, Indie","Linux, PC (Microsoft Windows)",Action,"roguelike, zombie shooter, multiplayer fps, online coop, action roguelike",Shadow Forged Studio,First person,"Single player, Multiplayer, Co-operative"
Kaz,2026-12-31,,"Indie, Arcade",PC (Microsoft Windows),"Action, Survival","training, roguelike, action roguelike, horde survival",Kalinarm,Bird view / Isometric,Single player
Demon Bluff,2026-12-31,,"Puzzle, Strategy, Indie, Card & Board Game",PC (Microsoft Windows),,"roguelike, social deduction, puzzles, deck building, tabletop card game","UmiArt, offbrand games",Bird view / Isometric,Single player
Tokyo Valkyries,2026-12-31,,Card & Board Game,"PC (Microsoft Windows), Nintendo Switch",Action,"roguelike, deck-building",qureate,,
Appulse,2026-12-31,,"Shooter, Pinball, Indie",PC (Microsoft Windows),"Action, Science fiction",roguelite,,Bird view / Isometric,Single player
Polytropos: A Tactical Odyssey,2026-12-31,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Tactical, Indie",PC (Microsoft Windows),"Fantasy, Historical","roguelike, turn-based tactics",Sea Panda Creative,"Bird view / Isometric, Side view",Single player
Top Check,2026-12-31,,"Strategy, Card & Board Game",PC (Microsoft Windows),,"chess, roguelike, collectible card game, turn-based tactics",Gliding Knight Games,Bird view / Isometric,"Single player, Multiplayer"
Baba Yaga,2026-12-31,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Indie",PC (Microsoft Windows),Fantasy,"turn-based, roguelike",,Side view,Single player
Aksun,2026-12-31,,"Role-playing (RPG), Hack and slash/Beat 'em up, Indie",PC (Microsoft Windows),Action,"mythology, roguelite, action roguelike",,Bird view / Isometric,Single player
CitaDrill,2026-12-31,,"Strategy, Adventure, Indie",PC (Microsoft Windows),"Action, Science fiction","cats, procedural generation, resource management, pixel graphics, cat, roguelite, 1bit, drill","Studio Moka, CobraTekku Games",Side view,Single player
Work In Progress,2026-12-31,,"Shooter, Indie",PC (Microsoft Windows),"Action, Mystery","exploration, 2d, roguelike, violent, die and retry",Maxence Jacquot,Side view,Single player
Don't Wake the Beast,2026-12-31,,"Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy, Stealth","steam achievements, roguelite",Artificial Disasters,Bird view / Isometric,Single player
Manipulus,2026-12-31,,"Turn-based strategy (TBS), Tactical, Adventure, Indie, Card & Board Game",PC (Microsoft Windows),"Horror, Thriller","psychological horror, psychological thriller, roguelike, turn-based tactics, card based combat, roguelite, collecting card game - ccg, deck-building, card battler",Chazzy Games,,Single player
Umblight,2026-12-31,,"Role-playing (RPG), Strategy, Adventure, Indie, Card & Board Game","Linux, PC (Microsoft Windows), Mac",Fantasy,"roguelike, roguelite",Kristoff Red,First person,Single player
Heart Dungeon,2026-12-31,,"Role-playing (RPG), Adventure, Indie, Visual Novel",PC (Microsoft Windows),Action,"roguelike, nextfest october 2025",Sanplus Games,"Bird view / Isometric, Side view","Single player, Co-operative"
Bleakwood,2026-12-31,,"Strategy, Adventure, Indie, Card & Board Game",PC (Microsoft Windows),,"chess, roguelike, deckbuilder, chess puzzle","Hyper Dive Studio, Null Games",Bird view / Isometric,Single player
Serial World,2026-12-31,,"Role-playing (RPG), Adventure, Indie","PC (Microsoft Windows), Mac",Comedy,"roguelike, jrpg, deck-building",,Third person,Single player
Moonwakers,2026-12-31,,"Adventure, Indie",PC (Microsoft Windows),Science fiction,"exploration, roguelite",,Bird view / Isometric,Single player
Hellfire Poncho,2026-12-31,,"Shooter, Indie, Arcade","Web browser, PC (Microsoft Windows)",Action,"western, roguelike, bullet hell, pixel art, surreal, single-player only, twin stick control, never-ending, roguelite, deckbuilder",Juegos Asados,Bird view / Isometric,Single player
Mayhem Brawler II: Best of Both Worlds,2026-12-31,,"Hack and slash/Beat 'em up, Indie","Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Nintendo Switch",Action,"side-scrolling, story rich, controller recommendation, non-linear storytelling, roguelite, lore rich",Hero Concept,Side view,"Single player, Multiplayer, Co-operative"
Dataminers,2026-12-31,,"Strategy, Indie","Linux, PC (Microsoft Windows), Mac",Action,"turn-based, roguelike",,,Single player
Space Scavenger 2,2026-12-31,,"Adventure, Indie",PC (Microsoft Windows),Action,"roguelite, action roguelike",Red Cabin Games,Bird view / Isometric,"Single player, Multiplayer, Co-operative, Split screen"
Kaiju Catastrophe,2026-12-31,,"Shooter, Indie, Arcade","Linux, PC (Microsoft Windows)",Action,"bullet hell, roguelite",GIGATANK 3000,Bird view / Isometric,Single player
Furcifer's Fungeon,2026-12-31,,"Role-playing (RPG), Indie","Web browser, Linux, PC (Microsoft Windows), Mac","Action, Fantasy","bullet hell, dungeon crawler, skill tree, roguelite","IndieArk, PlayWithFurcifer",Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Hero Chest,2026-12-31,,"Role-playing (RPG), Adventure, Indie, Card & Board Game",PC (Microsoft Windows),Action,"roguelike, dungeon crawler",YAW Studios,Bird view / Isometric,Single player
Recursor,2026-12-31,,"Fighting, Platform, Hack and slash/Beat 'em up, Indie, Arcade",PC (Microsoft Windows),"Action, Science fiction","crowdfunding - kickstarter, speedrun, platform fighting, roguelite, precision platforming",Wills Blackett,Side view,Single player
The Carcass,2026-11-20,,"Role-playing (RPG), Strategy, Indie",PC (Microsoft Windows),,"roguelike, procedurally generated, branching narrative",Ahmet Babagil,,Single player
Infinity Ship,2026-11-01,,"Indie, Arcade",PC (Microsoft Windows),Action,"space shooter, roguelite, roguelike deckbuilder, action roguelike, survivors like",,Bird view / Isometric,Single player
Everfront,2026-11-01,,"Strategy, Indie","Linux, PC (Microsoft Windows), Mac","Action, Warfare",roguelike,Wilhelm Tranheden,Bird view / Isometric,Single player
Broadside Bets,2026-09-30,,"Strategy, Turn-based strategy (TBS), Adventure, Indie, Card & Board Game",PC (Microsoft Windows),Fantasy,"roguelike, pixel art, deckbuilder, pirate",,Side view,Single player
Furyball: Rogue Revenge,2026-09-30,,"Sport, Indie",PC (Microsoft Windows),Action,roguelite,Rebound CG.,Bird view / Isometric,Single player
Sadko,2026-09-30,,"Adventure, Indie","PC (Microsoft Windows), Mac","Action, Survival","roguelike, bullet heaven",Glitch Fight Games,Bird view / Isometric,Single player
King's Well,2026-09-30,,"Strategy, Card & Board Game","PC (Microsoft Windows), Mac","Science fiction, Horror","poker, steampunk, turn-based combat, roguelite, roguelike deckbuilder, deckbuilder, card battler",Fire Brick Games,Side view,Single player
Author Sim,2026-09-30,,"Point-and-click, Simulator, Strategy, Indie",PC (Microsoft Windows),,"life simulation, casual, 2d, roguelike, management, cute, demo, relaxing, time management, choices matter, roguelite, cozy, collectathon, typing, replay value, job simulator",EssyTheSlug,,Single player
Fortunato,2026-09-30,,"Strategy, Card & Board Game",PC (Microsoft Windows),,"poker, roguelike, pixel art, pixel graphics, deck-building, roguelike deckbuilder",Normalice,,Single player
100Friends,2026-09-30,,"Role-playing (RPG), Strategy, Indie","PC (Microsoft Windows), Mac",Action,"brick breaker, roguelite",,Bird view / Isometric,Single player
IPS 13: All Signals Lost,2026-09-30,,"Simulator, Strategy",PC (Microsoft Windows),Science fiction,roguelike,Subb13 Games,Side view,Single player
Sketchy Driver,2026-09-30,,"Racing, Indie, Arcade",PC (Microsoft Windows),Action,"driving, stylized, score attack, cartoony, steam leaderboards, controller recommendation, controller support, roguelite, stunts",Gamalytix,Third person,Single player
Terrible Life Expectancy,2026-09-30,,"Shooter, Indie",PC (Microsoft Windows),"Action, Horror","roguelike, pixel art, pixel graphics, controller support, roguelite",Super Mega Team,Bird view / Isometric,Single player
Archon Soul,2026-09-30,,Strategy,PC (Microsoft Windows),Fantasy,"roguelike, dice","PolyGryph, Goblinz Publishing",Side view,Single player
Ember & Blade,2026-09-30,,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure","Linux, PC (Microsoft Windows), Mac","Action, Survival, Drama, Mystery","dark fantasy, boss fight, single-player only, roguelite, soulslike, action roguelike, loops, custom attacks",Line Games,Bird view / Isometric,Single player
Lootbound,2026-09-30,,"Role-playing (RPG), Strategy, Adventure","Xbox Series X|S, PC (Microsoft Windows), Mac, Nintendo Switch",Fantasy,"dark fantasy, turn-based tactics, pixel art, pixel graphics, dice, dungeon crawler, party-based, crowdfunding - kickstarter, inventory management, roguelite, kickstarter unsuccessful, nextfest february 2026",ArtDock,Bird view / Isometric,Single player
Forsworn,2026-09-30,,"Role-playing (RPG), Tactical, Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy","roguelike, turn-based tactics",Resummon Studios LLC,Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Hats and Guns,2026-09-30,,"Strategy, Turn-based strategy (TBS), Tactical, Indie, Card & Board Game",PC (Microsoft Windows),,"western, turn-based combat, card based combat, roguelite, deck building",,Bird view / Isometric,Single player
Reality Drift,2026-09-30,,"Racing, Indie, Arcade",PC (Microsoft Windows),"Action, Comedy","roguelike, choices matter",Arganoid Industries,Third person,Single player
Tower Lab,2026-09-30,,"Simulator, Strategy","PC (Microsoft Windows), Mac",,"tower defense, physics, roguelike, physics puzzles, roguelite, deckbuilder",Play Tug Studio,Bird view / Isometric,Single player
Defeat the Goblin King,2026-08-14,,"Role-playing (RPG), Strategy, Indie",PC (Microsoft Windows),Fantasy,"roguelike, nextfest february 2026",Gagurum,,Single player
Lucky Shot,2026-08-01,,Indie,"Linux, PC (Microsoft Windows)",Action,"roguelike, aim trainer",,First person,Single player
Pilgrim Alliance,2026-08-01,,"Role-playing (RPG), Strategy, Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy","roguelite, journey to the west, vampire survivors, survivors like",Whirlwind,Bird view / Isometric,Single player
Pieces of the Kingdom,2026-08-01,,"Strategy, Tactical, Indie","PC (Microsoft Windows), Mac",Fantasy,"chess, roguelite",Birdworks,Bird view / Isometric,"Single player, Multiplayer"
Cult of Pin,2026-08-01,,"Strategy, Pinball, Indie, Arcade","Linux, PC (Microsoft Windows), Mac",Action,"casual, roguelike, pinball, lovecraftian, controller support, nextfest february 2025",KennyMakesGames,,Single player
Tower Command,2026-07-15,,"Strategy, Indie",PC (Microsoft Windows),"Action, Fantasy","tower defense, roguelike, pixel art, pixel graphics, steam achievements, nextfest october 2025",RILE Games,Bird view / Isometric,Single player
Ascend to Zero,2026-07-13,,"Role-playing (RPG), Strategy, Hack and slash/Beat 'em up","Xbox Series X|S, PC (Microsoft Windows)",Action,roguelike,"Flyway Games, Krafton",Bird view / Isometric,Single player
The Glory Dungeon Raider,2026-07-03,,"Shooter, Adventure, Indie",PC (Microsoft Windows),Action,"retro, 2d, roguelike, pixel art, action combat, action roguelike, top down shooter, top down view",,Bird view / Isometric,Single player
Just Dying,2026-07-01,,Indie,PC (Microsoft Windows),"Action, Fantasy",roguelike,Toloko Games,Bird view / Isometric,Single player
Mind Vessel,2026-07-01,,"Role-playing (RPG), Strategy, Indie",PC (Microsoft Windows),Horror,"roguelike, pixel art, roguelite, autobattler",,Side view,Single player
Hoosegow: Prison Survival,2026-06-30,,"Role-playing (RPG), Simulator, Adventure, Indie",PC (Microsoft Windows),"Survival, Comedy","procedural generation, dark humor, narrative, roguelite, dialogue choice, prison, single player adventure, survival rpg",D.Dream Games,Text,Single player
Puzzlor,2026-06-30,,"Puzzle, Strategy, Indie",PC (Microsoft Windows),Fantasy,"block puzzle, roguelite, roguelike deckbuilder",Vaguely Awesome,Third person,Single player
Hecatomb,2026-06-30,,"Strategy, Indie, Card & Board Game",PC (Microsoft Windows),,"roguelike, roguelike deckbuilder",Simulacrumb,,
Pokor,2026-06-30,,"Role-playing (RPG), Simulator, Strategy, Indie, Card & Board Game",PC (Microsoft Windows),,roguelike,,Bird view / Isometric,Single player
Dive or Die: Children of Rain,2026-06-30,,"Adventure, Indie",PC (Microsoft Windows),Action,"2d, lovecraftian, roguelite","Drop Rate Studio, Dear Villagers",Side view,Single player
NebulArena,2026-06-30,,Strategy,PC (Microsoft Windows),Science fiction,"pixel graphics, roguelite, competitve, autobattler",TwoKats SNC,Bird view / Isometric,Single player
Alonitaire,2026-06-30,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Adventure, Indie, Card & Board Game",PC (Microsoft Windows),"Horror, Thriller, Mystery","retro, psychological horror, dark, 2d, procedural generation, permadeath, solitaire, atmospheric, pixel art, surreal, story rich, breaking the fourth wall, narrative, roguelite, klondike, roguelike deckbuilder, deckbuilder, card battler",,First person,Single player
